"machinetypeid","machinetypecode","machinetypename","dataitemid","name","description","data_type","min_value","max_value","not_allowed_values","allowed_values","unit","true_label","false_label","center","success_key","is_violation_enabled"
7,"007",Fanuc CNC,program_block,Program Block,Program Block,string,,,,,,,,,,false
7,"007",Fanuc CNC,x_servo_condition,X Servo Durumu,X Servo Durumu,string,,,,,,,,,,false
1,"001",Testere,servo_torque,Servo Motor Tork,Servo motor hızını ifade eder,number,0.0000,50.0000,,,%,,,,,true
2,"002",AbbRobot,alarm_14,Alarm 14,Alarm 14 durumunu ifade eder,string,,,,,,,,,,false
2,"002",AbbRobot,alarm_15,Alarm 15,Alarm 15 durumunu ifade eder,string,,,,,,,,,,false
1,"001",Testere,part_count,Part Count,Üretilen toplam parça sayısını ifade eder,number,,,,,,,,,,false
1,"001",Testere,status,Machine Status,Makinenin genel çalışma durumunu ifade eder,string,,,,,,,,,,false
1,"001",Testere,target_cut_count,Target Cut Count,Hedeflenen kesim adedini ifade eder,number,,,,,,,,,,false
1,"001",Testere,total_cut_area,Total Cut Area,Toplam kesim alanını ifade eder,number,,,,,,,,,,false
1,"001",Testere,total_cut_count,Total Cut Count,Toplam yapılan kesim adedini ifade eder,number,,,,,,,,,,false
1,"001",Testere,feed_speed,İlerleme Hızı,Besleme hızını ifade eder,number,,,,,mm/s,,,,,false
2,"002",AbbRobot,alarm_16,Alarm 16,Alarm 16 durumunu ifade eder,string,,,,,,,,,,false
2,"002",AbbRobot,alarm_17,Alarm 17,Alarm 17 durumunu ifade eder,string,,,,,,,,,,false
2,"002",AbbRobot,alarm_18,Alarm 18,Alarm 18 durumunu ifade eder,string,,,,,,,,,,false
2,"002",AbbRobot,alarm_19,Alarm 19,Alarm 19 durumunu ifade eder,string,,,,,,,,,,false
2,"002",AbbRobot,alarm_2,Alarm 2,Alarm 2 durumunu ifade eder,string,,,,,,,,,,false
3,"003",Dikey Pres,pump_5_suction_valve_ok,Pompa 5 Emiş Valfi Durumu,Pompa 5 emiş valfinin sağlamlık durumunu ifade eder,boolean,,,,,,OK,Arızalı,,TRUE,true
3,"003",Dikey Pres,pump_1_suction_valve_ok,Pompa 1 Emiş Valfi Durumu,Pompa 1 emiş valfinin sağlamlık durumunu ifade eder,boolean,,,,,,OK,Arızalı,,TRUE,true
